Survey date,Confidence score,Respondent count,Postcode
2025-05-01,39.24,150,UB3 4JW
2025-05-01,61.7,140,W1H 0LA
2025-05-01,76.28,155,E12 5YA
2025-05-01,45.98,135,TN16 3RE
2025-05-01,45.72,173,KT3 5ZF
2025-05-01,100.0,130,SW2 5XR
2025-05-01,38.48,142,N5 1UQ
2025-05-01,71.96,147,SW19 1RN
2025-05-01,44.37,159,SW10 1BZ
2025-05-01,73.24,151,E9 7WD
2025-05-01,68.06,152,E1W 2BN
2025-05-01,57.17,138,N11 1TS
2025-05-01,81.43,175,W5 1SU
2025-05-01,54.19,139,W1P 0BU
2025-05-01,62.15,159,TW14 0WD
2025-05-01,43.0,158,W8 5QE
2025-05-01,66.5,138,EC1A 7AY
2025-05-01,51.86,140,EN4 0TP
2025-05-01,60.9,174,TW6 2BJ
2025-05-01,85.11,144,E16 1AH
2025-05-01,57.68,168,SW6 2XG
2025-05-01,58.13,152,SE9 3AD
2025-05-01,35.63,150,W7 9BU
2025-05-01,48.52,150,SM5 3ZS
2025-05-01,67.97,149,SE2 8DW
2025-05-01,95.56,164,HA8 4LF
2025-05-01,62.67,144,SE7 7RA
2025-05-01,63.19,155,SW20 9NP
2025-05-01,72.44,172,SW10 9SA
2025-05-01,60.25,145,UB3 4BA
2025-05-01,58.41,152,E8 4HU
2025-05-01,75.97,168,BR1 9QT
2025-05-01,18.53,154,SE1 5GZ
2025-05-01,100.0,137,HA0 4NW
2025-05-01,69.95,164,NW2 4AN
2025-05-01,54.5,141,E17 8DE
2025-05-01,76.38,162,TW1 2HR
2025-05-01,56.93,143,N10 2YF
2025-05-01,38.47,162,UB3 3JP
2025-05-01,81.72,147,NW2 6RJ
2025-05-01,67.78,158,SW11 8DE
2025-05-01,57.66,145,TW13 6WB
2025-05-01,56.7,140,SW8 3QH
2025-05-01,62.24,160,HA3 7EN
2025-05-01,62.84,142,IG11 8PW
2025-05-01,68.69,141,E6 2RN
2025-05-01,23.67,142,IG1 9RR
2025-05-01,54.34,146,SM6 9JU
2025-05-01,94.19,157,KT1 9QU
2025-05-01,48.96,135,EC1V 9NS
2025-05-01,83.45,139,SE22 8WS
2025-05-01,42.86,145,N1P 1WR
2025-05-01,62.0,138,SW19 3SU
2025-05-01,72.78,164,CR0 2PU
2025-05-01,59.64,164,NW10 9RD
2025-05-01,56.36,172,TW2 5SZ
2025-05-01,48.54,145,E5 8QU
