Survey date,Confidence score,Respondent count,Postcode
01/05/2025,39.24,150,UB3 4JW
01/05/2025,61.7,140,W1H 0LA
01/05/2025,76.28,155,E12 5YA
01/05/2025,45.98,135,TN16 3RE
01/05/2025,45.72,173,KT3 5ZF
01/05/2025,100,130,SW2 5XR
01/05/2025,38.48,142,N5 1UQ
01/05/2025,71.96,147,SW19 1RN
01/05/2025,44.37,159,SW10 1BZ
01/05/2025,73.24,151,E9 7WD
01/05/2025,68.06,152,E1W 2BN
01/05/2025,57.17,138,N11 1TS
01/05/2025,81.43,175,W5 1SU
01/05/2025,54.19,139,W1P 0BU
01/05/2025,62.15,159,TW14 0WD
01/05/2025,43,158,W8 5QE
01/05/2025,66.5,138,EC1A 7AY
01/05/2025,51.86,140,EN4 0TP
01/05/2025,60.9,174,TW6 2BJ
01/05/2025,85.11,144,E16 1AH
01/05/2025,57.68,168,SW6 2XG
01/05/2025,58.13,152,SE9 3AD
01/05/2025,35.63,150,W7 9BU
01/05/2025,48.52,150,SM5 3ZS
01/05/2025,67.97,149,SE2 8DW
01/05/2025,95.56,164,HA8 4LF
01/05/2025,62.67,144,SE7 7RA
01/05/2025,63.19,155,SW20 9NP
01/05/2025,72.44,172,SW10 9SA
01/05/2025,60.25,145,UB3 4BA
01/05/2025,58.41,152,E8 4HU
01/05/2025,75.97,168,BR1 9QT
01/05/2025,18.53,154,SE1 5GZ
01/05/2025,100,137,HA0 4NW
01/05/2025,69.95,164,NW2 4AN
01/05/2025,54.5,141,E17 8DE
01/05/2025,76.38,162,TW1 2HR
01/05/2025,56.93,143,N10 2YF
01/05/2025,38.47,162,UB3 3JP
01/05/2025,81.72,147,NW2 6RJ
01/05/2025,67.78,158,SW11 8DE
01/05/2025,57.66,145,TW13 6WB
01/05/2025,56.7,140,SW8 3QH
01/05/2025,62.24,160,HA3 7EN
01/05/2025,62.84,142,IG11 8PW
01/05/2025,68.69,141,E6 2RN
01/05/2025,23.67,142,IG1 9RR
01/05/2025,54.34,146,SM6 9JU
01/05/2025,94.19,157,KT1 9QU
01/05/2025,48.96,135,EC1V 9NS
01/05/2025,83.45,139,SE22 8WS
01/05/2025,42.86,145,N1P 1WR
