timestamp,postcode,Response_Team_Officers
2025-06-22 02:00:00,SE8 5NF,7
2025-06-12 12:00:00,E16 1TH,2
2025-06-30 02:00:00,WC2H 9QL,2
2025-05-17 14:00:00,NW10 5NT,5
2025-05-23 20:00:00,N1 7TX,2
2025-06-05 09:00:00,IG11 0XF,22
2025-07-08 18:00:00,SE22 8NE,0
2025-06-30 23:00:00,EN1 3QE,0
2025-06-23 12:00:00,NW10 5QA,10
2025-05-26 09:00:00,E15 2QS,1
2025-06-18 08:00:00,E5 8HP,9
2025-05-26 05:00:00,SW1Y 4EA,0
2025-05-12 23:00:00,E15 2UG,4
2025-07-09 11:00:00,W1M 8HN,2
2025-05-01 16:00:00,SE16 7BU,3
2025-05-05 10:00:00,RM11 1EQ,6
2025-07-31 11:00:00,NW6 1PJ,2
2025-07-07 14:00:00,E20 1NU,5
2025-05-22 04:00:00,NW2 4QH,5
2025-07-13 19:00:00,SW2 2UB,3
2025-06-12 05:00:00,HA6 3AG,4
2025-07-16 15:00:00,HA8 7EJ,0
2025-07-22 16:00:00,E9 6ZZ,4
2025-07-22 08:00:00,UB8 2LR,0
2025-07-21 14:00:00,SE6 4QZ,9
2025-06-25 00:00:00,W11 4JA,17
2025-07-31 20:00:00,N12 0PZ,9
2025-06-27 21:00:00,E13 8NW,1
2025-06-05 07:00:00,NW10 9BR,4
2025-06-16 21:00:00,E1 4GR,1
2025-06-02 16:00:00,SE1 4FF,7
2025-05-24 09:00:00,N10 2PF,3
2025-06-23 04:00:00,E15 1HG,13
2025-07-02 11:00:00,IG1 2AH,4
2025-05-31 08:00:00,SW4 6LD,6
2025-06-23 12:00:00,SM5 1TZ,4
2025-05-01 04:00:00,SE8 5AZ,3
2025-06-28 15:00:00,E14 8AZ,5
2025-06-16 16:00:00,E1W 3PA,16
2025-05-21 08:00:00,SW16 1NP,2
2025-05-14 19:00:00,HA8 0LW,5
2025-07-31 20:00:00,WC1X 9DJ,1
2025-07-29 23:00:00,E6 2BQ,3
2025-07-04 04:00:00,HA1 1GR,0
2025-07-10 02:00:00,IG11 8DZ,4
2025-06-25 17:00:00,DA14 6SH,2
2025-06-25 20:00:00,SE16 3JZ,5
2025-05-18 09:00:00,DA6 8ET,4
2025-06-15 23:00:00,NW1 8QP,3
